"jahr","land","handelsart","gesamt_handelsmenge"
2019,"Polen","Import","-230776.0"
2019,"Oesterreich","Import","-814095.0"
2019,"Schweiz","Import","-5755955.0"
2019,"Niederlande","Export","7721833.0"
2019,"Tschechien","Export","7604658.0"
2019,"Niederlande","Import","-3701858.0"
2019,"Daenemark","Export","7924309.0"
2019,"Schweden","Import","-1328676.0"
2019,"Luxemburg","Export","4195441.0"
2019,"Daenemark","Import","-6005575.0"
2019,"Schweden","Export","583583.0"
2019,"Luxemburg","Import","-5123.0"
2019,"Schweiz","Export","5209404.0"
2019,"Tschechien","Import","-5662999.0"
2019,"Oesterreich","Export","20432392.0"
2019,"Frankreich","Export","10704786.0"
2019,"Polen","Export","2565708.0"
2019,"Frankreich","Import","-8278459.0"
2019,"Gesamt","Nettoexport","35158598.0"
2020,"Daenemark","Export","3577998.0"
2020,"Tschechien","Export","8506248.0"
2020,"Tschechien","Import","-4736263.0"
2020,"Norwegen","Export","37004.0"
2020,"Niederlande","Import","-6840112.0"
2020,"Luxemburg","Export","3787165.0"
2020,"Daenemark","Import","-10519212.0"
2020,"Oesterreich","Export","20374144.0"
2020,"Polen","Export","3534938.0"
2020,"Frankreich","Export","8795946.0"
2020,"Belgien","Export","245404.75"
2020,"Niederlande","Export","5238400.0"
2020,"Frankreich","Import","-7199191.0"
2020,"Schweiz","Export","4769372.0"
2020,"Luxemburg","Import","-690.0"
2020,"Schweden","Export","399503.0"
2020,"Gesamt","Nettoexport","18477526.25"
2020,"Polen","Import","-616973.0"
2020,"Oesterreich","Import","-1902825.0"
2020,"Schweiz","Import","-6107487.0"
2020,"Belgien","Import","-125305.5"
2020,"Schweden","Import","-2540764.0"
2020,"Norwegen","Import","-199774.0"
2021,"Luxemburg","Export","3938948.0"
2021,"Tschechien","Export","5693233.0"
2021,"Daenemark","Export","4174568.0"
2021,"Gesamt","Nettoexport","17803704.75"
2021,"Polen","Export","1920155.0"
2021,"Frankreich","Export","11656777.0"
2021,"Polen","Import","-3678108.0"
2021,"Schweiz","Export","6358977.0"
2021,"Niederlande","Export","6352655.0"
2021,"Niederlande","Import","-4726548.0"
2021,"Frankreich","Import","-5172831.0"
2021,"Oesterreich","Import","-1383687.0"
2021,"Schweden","Import","-2263138.0"
2021,"Norwegen","Export","1298287.0"
2021,"Schweden","Export","281869.0"
2021,"Schweiz","Import","-4157258.0"
2021,"Luxemburg","Import","0.0"
2021,"Norwegen","Import","-4457862.0"
2021,"Belgien","Import","-2690621.25"
2021,"Tschechien","Import","-5467724.0"
2021,"Belgien","Export","3466890.50"
2021,"Daenemark","Import","-13177425.0"
2021,"Oesterreich","Export","19835493.0"
2022,"Daenemark","Export","3900595.0"
2022,"Schweden","Import","-3238868.0"
2022,"Polen","Export","2046998.0"
2022,"Frankreich","Import","-2332231.0"
2022,"Norwegen","Export","2007950.0"
2022,"Oesterreich","Import","-694484.0"
2022,"Tschechien","Import","-3536602.0"
2022,"Gesamt","Nettoexport","26847361.00"
2022,"Niederlande","Import","-6050161.0"
2022,"Schweiz","Export","8717233.0"
2022,"Norwegen","Import","-5740701.0"
2022,"Daenemark","Import","-14188853.0"
2022,"Schweden","Export","96168.0"
2022,"Belgien","Import","-3271364.50"
2022,"Luxemburg","Export","3888935.0"
2022,"Polen","Import","-3004018.0"
2022,"Schweiz","Import","-1764631.0"
2022,"Belgien","Export","4762084.25"
2022,"Frankreich","Export","17651277.0"
2022,"Niederlande","Export","5680195.0"
2022,"Luxemburg","Import","0.0"
2022,"Tschechien","Export","5185914.0"
2022,"Oesterreich","Export","16731885.0"
2023,"Daenemark","Export","4811231.6"
2023,"Polen","Import","-3048029.3"
2023,"Oesterreich","Export","8855633.05"
2023,"Gesamt","Nettoexport","-11733960.07"
2023,"Norwegen","Import","-6541842.0"
2023,"Oesterreich","Import","-3026063.82"
2023,"Schweden","Import","-3260774.6"
2023,"Frankreich","Import","-9342664.75"
2023,"Belgien","Import","-4727819.81"
2023,"Belgien","Export","4945932.26"
2023,"Luxemburg","Export","3563669.83"
2023,"Tschechien","Export","3994401.0"
2023,"Niederlande","Export","5721903.50"
2023,"Schweiz","Export","5276666.68"
2023,"Schweiz","Import","-6297034.50"
2023,"Niederlande","Import","-7863067.20"
2023,"Schweden","Export","369941.4"
2023,"Norwegen","Export","1986921.0"
2023,"Tschechien","Import","-4104864.7"
2023,"Polen","Export","3569730.8"
2023,"Frankreich","Export","8917824.00"
2023,"Daenemark","Import","-15531776.8"
2023,"Luxemburg","Import","-3877.69"
2024,"Frankreich","Import","-15980287.66"
2024,"Tschechien","Export","5768207.20"
2024,"Belgien","Export","3557938.58"
2024,"Norwegen","Import","-7358186.0"
2024,"Niederlande","Import","-8838796.40"
2024,"Luxemburg","Export","3543504.61"
2024,"Gesamt","Nettoexport","-28327384.31"
2024,"Belgien","Import","-6294581.10"
2024,"Schweiz","Export","3063223.70"
2024,"Luxemburg","Import","0.0"
2024,"Polen","Import","-2367644.3"
2024,"Norwegen","Export","1555789.0"
2024,"Polen","Export","5873061.5"
2024,"Schweden","Import","-2992691.7"
2024,"Frankreich","Export","3081372.64"
2024,"Oesterreich","Export","9485711.80"
2024,"Niederlande","Export","6364892.85"
2024,"Tschechien","Import","-2967437.24"
2024,"Daenemark","Import","-18154926.1"
2024,"Schweden","Export","386527.5"
2024,"Daenemark","Export","6201665.5"
2024,"Oesterreich","Import","-2090060.38"
2024,"Schweiz","Import","-10164668.30"
2025,"Belgien","Import","-6279449.58"
2025,"Luxemburg","Import","0.0"
2025,"Frankreich","Import","-13690188.54"
2025,"Gesamt","Nettoexport","-21922989.15"
2025,"Oesterreich","Import","-1226923.60"
2025,"Tschechien","Import","-2652481.70"
2025,"Norwegen","Import","-8190219.00"
2025,"Polen","Export","6256059.38"
2025,"Norwegen","Export","1173374.00"
2025,"Frankreich","Export","2469902.46"
2025,"Niederlande","Import","-13091625.85"
2025,"Schweiz","Import","-6461038.51"
2025,"Polen","Import","-2826865.06"
2025,"Schweden","Export","447333.00"
2025,"Oesterreich","Export","13451488.20"
2025,"Schweiz","Export","5561040.98"
2025,"Niederlande","Export","4693769.50"
2025,"Belgien","Export","3334278.41"
2025,"Daenemark","Import","-19415838.60"
2025,"Luxemburg","Export","3485753.76"
2025,"Daenemark","Export","7045223.11"
2025,"Tschechien","Export","6852173.92"
2025,"Schweden","Import","-2858755.50"
